X1,X2,X3,X4
1,0,0.979591837,0
1,0.319444444,1,0.279411765
0.979591837,0,0.959183673,0
1,0.319444444,1,0.309859155
0.959183673,0,0.93877551,0
1,0.395061728,1,0.279411765
1,0,0.959183673,0
1,0.309859155,1,0.3
0.918367347,0,0.87755102,0
1,0.309859155,1,0.222222222
1,0.289855072,1,0.279411765
1,0.309859155,1,0.289855072
0.93877551,0,0.918367347,0
1,0.289855072,0.979591837,0.28358209
1,0.075471698,1,0.039215686
1,0.02,0.93877551,0
1,0,0.959183673,0
0.979591837,0,0.93877551,0
0.979591837,0,0.918367347,0
0.959183673,0,0.795918367,0
1,0,0.87755102,0
0.979591837,0,0.857142857,0
0.897959184,0,0.816326531,0
1,0.3875,1,0.363636364
0.795918367,0,0.775510204,0
0.547619048,0,0.511904762,0
0.523809524,0,0.488095238,0
0.511904762,0,0.488095238,0
0.523809524,0,0.511904762,0
0.547619048,0,0.5,0
0.523809524,0,0.5,0
0.535714286,0,0.511904762,0
0.511904762,0,0.488095238,0
0.523809524,0,0.523809524,0
0.511904762,0,0.5,0
0.523809524,0,0.511904762,0
0.511904762,0,0.488095238,0
0.535714286,0,0.5,0
0.5,0,0.5,0
0.535714286,0,0.488095238,0
0.523809524,0,0.5,0
0.5,0,0.5,0
0.511904762,0,0.488095238,0
0.535714286,0,0.511904762,0
0.523809524,0,0.511904762,0
0.464285714,0,0.44047619,0
0.488095238,0,0.476190476,0
0.523809524,0,0.5,0
0.511904762,0,0.5,0
0.535714286,0,0.511904762,0
0.535714286,0,0.511904762,0
0.535714286,0,0.5,0
0.547619048,0,0.511904762,0
0.511904762,0,0.476190476,0
0.523809524,0,0.523809524,0
0.511904762,0,0.476190476,0
0.511904762,0,0.5,0
0.523809524,0,0.511904762,0
0.5,0,0.488095238,0
0.523809524,0,0.511904762,0
0.535714286,0,0.511904762,0
0.535714286,0,0.523809524,0
0.511904762,0,0.464285714,0
0.511904762,0,0.476190476,0
0.523809524,0,0.5,0
0.523809524,0,0.476190476,0
0.523809524,0,0.511904762,0
0.523809524,0,0.511904762,0
0.511904762,0,0.5,0
0.523809524,0,0.511904762,0
0.523809524,0,0.5,0
0.535714286,0,0.488095238,0
0.511904762,0,0.488095238,0
0.547619048,0,0.511904762,0
0.523809524,0,0.5,0
0.535714286,0,0.523809524,0
0.535714286,0,0.5,0
0.547619048,0,0.5,0
0.523809524,0,0.523809524,0
